team,opponent,result
Wolverhampton Wanderers,Burnley,D
Manchester United,Liverpool,L
Leicester City,Tottenham,L
Luton Town,Chelsea,L
Fulham,Brentford,L
Everton,Arsenal,W
Southampton,Crystal Palace,L
Wolverhampton Wanderers,Tottenham,W
Aston Villa,Liverpool,L
Manchester United,Arsenal,W
Leicester City,Everton,D
Leeds United,West Brom,W
Chelsea,Tottenham,W
Nottingham Forest,Brentford,D
Leeds United,Southampton,W
Burnley,Manchester Utd,L
West Ham United,Newcastle Utd,D
Manchester City,Everton,W
Tottenham Hotspur,Chelsea,L
Manchester City,Wolves,W
West Bromwich Albion,Everton,L
Brighton and Hove Albion,Crystal Palace,L
Bournemouth,Aston Villa,W
Manchester City,Wolves,W
Chelsea,Leicester City,W
Liverpool,Leicester City,W
Tottenham Hotspur,Brighton,L
Nottingham Forest,Brighton,D
Burnley,Fulham,D
Liverpool,Luton Town,W
Liverpool,Burnley,W
Aston Villa,Newcastle Utd,D
Liverpool,Crystal Palace,W
Arsenal,Aston Villa,L
Leicester City,Liverpool,L
Newcastle United,Manchester City,L
Norwich City,Newcastle Utd,D
Wolverhampton Wanderers,Arsenal,L
Everton,Leicester City,L
Crystal Palace,Southampton,D
Chelsea,Manchester City,L
Arsenal,Manchester Utd,W
Norwich City,Sheffield Utd,L
Tottenham Hotspur,West Ham,L
Manchester City,Arsenal,W
Arsenal,Southampton,D
Tottenham Hotspur,Newcastle Utd,L
Leeds United,Burnley,W
Wolverhampton Wanderers,Brighton,L
Aston Villa,Chelsea,L
Aston Villa,Brighton,W
Leeds United,Brighton,L
Leeds United,Wolves,L
Leeds United,Arsenal,D
Everton,Newcastle Utd,D
Burnley,Bournemouth,L
Bournemouth,Crystal Palace,L
West Ham United,Burnley,D
Arsenal,Wolves,W
West Bromwich Albion,Tottenham,L
Watford,West Ham,L
Leicester City,West Ham,L
Arsenal,Leicester City,W
Tottenham Hotspur,Newcastle Utd,W
Chelsea,Aston Villa,W
Liverpool,Sheffield Utd,W
Brentford,Manchester Utd,L
Brighton and Hove Albion,Crystal Palace,D
Tottenham Hotspur,Sheffield Utd,L
Nottingham Forest,Manchester Utd,L
Manchester City,Crystal Palace,W
West Bromwich Albion,Liverpool,D
Southampton,Tottenham,L
Manchester United,Liverpool,L
Crystal Palace,Leeds United,L
Leicester City,Brighton,D
Brighton and Hove Albion,Everton,W
Manchester City,West Brom,D
Brighton and Hove Albion,Manchester City,L
Brentford,Newcastle Utd,L
West Ham United,Liverpool,L
Arsenal,Liverpool,L
Fulham,Liverpool,L
Wolverhampton Wanderers,Fulham,W
Brighton and Hove Albion,Nott'ham Forest,W
Tottenham Hotspur,Aston Villa,L
Leicester City,Everton,D
Wolverhampton Wanderers,Chelsea,W
West Bromwich Albion,Arsenal,L
West Ham United,Manchester City,L
Burnley,Liverpool,L
Watford,Aston Villa,W
Brighton and Hove Albion,Manchester Utd,L
Aston Villa,Manchester Utd,L
Leicester City,Manchester City,L
Southampton,Leicester City,L
Newcastle United,Everton,D
West Ham United,Manchester City,D
Watford,Southampton,L
Leicester City,Manchester City,W
Manchester City,Southampton,D
Manchester United,Chelsea,W
Arsenal,Manchester City,L
Aston Villa,Bournemouth,L
Tottenham Hotspur,Liverpool,L
Manchester United,Burnley,W
Manchester City,Brighton,W
Aston Villa,Watford,W
Chelsea,Leicester City,D
Leicester City,Arsenal,W
Chelsea,Liverpool,D
Chelsea,Burnley,W
Arsenal,Liverpool,L
Fulham,Burnley,D
Everton,Sheffield Utd,W
Brighton and Hove Albion,Burnley,D
Aston Villa,Southampton,W
Liverpool,Tottenham,W
West Ham United,Wolves,L
Tottenham Hotspur,Wolves,W
Leicester City,Manchester Utd,W
Liverpool,Nott'ham Forest,L
Leicester City,Southampton,D
West Ham United,Crystal Palace,L
Brighton and Hove Albion,Leicester City,L
Fulham,Aston Villa,L
Southampton,Sheffield Utd,W
Liverpool,Brighton,W
Burnley,Brighton,D
Everton,Bournemouth,L
Fulham,Wolves,D
Crystal Palace,Southampton,D
Tottenham Hotspur,Everton,D
Newcastle United,Crystal Palace,L
Leicester City,Chelsea,D
Burnley,Tottenham,L
Liverpool,Leicester City,W
Leicester City,Aston Villa,W
Burnley,Tottenham,L
Everton,Manchester City,L
Manchester City,Fulham,W
West Ham United,Liverpool,L
Tottenham Hotspur,Aston Villa,L
West Ham United,Wolves,W
Wolverhampton Wanderers,Liverpool,L
Wolverhampton Wanderers,West Ham,L
Crystal Palace,West Ham,L
Newcastle United,Leicester City,D
Luton Town,Manchester City,L
Southampton,West Ham,L
Tottenham Hotspur,Manchester Utd,L
Manchester City,Brighton,W
Aston Villa,Arsenal,W
Manchester United,Brighton,W
Aston Villa,Fulham,W
Leeds United,Everton,D
Brighton and Hove Albion,Tottenham,W
Fulham,Liverpool,L
Manchester City,Bournemouth,W
Brighton and Hove Albion,Newcastle Utd,W
Southampton,Newcastle Utd,L
Newcastle United,Luton Town,L
Aston Villa,Nott'ham Forest,W
Manchester United,Wolves,D
Brighton and Hove Albion,Nott'ham Forest,L
Crystal Palace,Liverpool,L
Liverpool,Leicester City,W
Everton,Burnley,D
Southampton,Burnley,W
Liverpool,Crystal Palace,L
Nottingham Forest,West Ham,W
Wolverhampton Wanderers,Liverpool,L
West Ham United,Aston Villa,W
West Ham United,Aston Villa,D
Brighton and Hove Albion,Leicester City,L
Manchester City,Tottenham,L
Southampton,Burnley,D
Everton,Leicester City,L
Fulham,Chelsea,L
Newcastle United,Manchester Utd,L
Arsenal,Leeds United,W
Liverpool,Brighton,W
Manchester City,Chelsea,D
Tottenham Hotspur,Arsenal,L
Bournemouth,Southampton,L
Aston Villa,Liverpool,L
Manchester City,Sheffield Utd,W
Manchester City,Chelsea,W
Newcastle United,Brighton,L
Chelsea,Brighton,W
Liverpool,Manchester Utd,W
Manchester City,Bournemouth,W
Bournemouth,Aston Villa,W
Chelsea,Burnley,W
Wolverhampton Wanderers,Manchester City,L
Liverpool,Manchester City,D
Manchester United,Leeds United,W
Liverpool,Aston Villa,W
Norwich City,Chelsea,L
Southampton,West Brom,W
Sheffield United,Aston Villa,D
Burnley,Newcastle Utd,L
Brighton and Hove Albion,Chelsea,L
Liverpool,Manchester Utd,W
Brighton and Hove Albion,Norwich City,D
Everton,West Brom,W
Leicester City,Tottenham,L
West Bromwich Albion,Everton,L
Newcastle United,Sheffield Utd,L
Liverpool,Bournemouth,W
Tottenham Hotspur,Newcastle Utd,D
Wolverhampton Wanderers,Chelsea,W
Brentford,Liverpool,W
Everton,Tottenham,L
Fulham,Leicester City,W
Chelsea,Wolves,L
Wolverhampton Wanderers,Manchester City,L
Tottenham Hotspur,Burnley,W
Tottenham Hotspur,Brighton,L
Crystal Palace,Southampton,L
Leicester City,Aston Villa,W
West Bromwich Albion,Aston Villa,L
Everton,Liverpool,L
Arsenal,Liverpool,L
Brighton and Hove Albion,Manchester Utd,L
Fulham,Chelsea,L
Norwich City,Newcastle Utd,L
Bournemouth,Newcastle Utd,D
Brentford,Manchester Utd,L
Watford,Norwich City,W
Manchester City,Wolves,L
Liverpool,West Ham,W
Aston Villa,Leicester City,W
Manchester United,Everton,D
Newcastle United,Fulham,W
Everton,Crystal Palace,D
Wolverhampton Wanderers,Bournemouth,L
Chelsea,Brighton,W
Aston Villa,Liverpool,L
Leicester City,Bournemouth,L
Aston Villa,West Brom,W
Crystal Palace,Manchester Utd,W
Burnley,Norwich City,W
Chelsea,Southampton,L
Aston Villa,Wolves,L
Aston Villa,Brighton,W
Tottenham Hotspur,Newcastle Utd,L
Leicester City,Aston Villa,L
Watford,Aston Villa,W
Bournemouth,Nott'ham Forest,W
Manchester City,Tottenham,L
Chelsea,Leeds United,W
Liverpool,Watford,L
Chelsea,Manchester Utd,L
Chelsea,Aston Villa,W
Chelsea,Burnley,W
Newcastle United,Brighton,D
Chelsea,Brentford,L
Manchester United,Leicester City,W
Wolverhampton Wanderers,Leeds United,D
Brighton and Hove Albion,Leicester City,L
West Ham United,Brighton,D
Luton Town,Tottenham,L
Tottenham Hotspur,Southampton,W
Chelsea,West Ham,L
Burnley,Fulham,D
Wolverhampton Wanderers,Leeds United,L
Brighton and Hove Albion,Manchester City,D
Leicester City,Sheffield Utd,W
Crystal Palace,Watford,W
Arsenal,Aston Villa,W
Arsenal,Everton,D
Burnley,Everton,D
Crystal Palace,Tottenham,D
Bournemouth,Burnley,W
Southampton,West Ham,D
Everton,Tottenham,L
Sheffield United,Brighton,D
Sheffield United,Tottenham,L
Liverpool,Brighton,D
Southampton,Nott'ham Forest,L
Nottingham Forest,West Ham,W
Crystal Palace,Burnley,L
Manchester United,Fulham,W
Burnley,Wolves,W
Crystal Palace,Manchester Utd,L
Burnley,Southampton,L
Manchester City,Leeds United,D
Leicester City,Brighton,L
Fulham,Nott'ham Forest,W
Nottingham Forest,Tottenham,L
Southampton,Leicester City,W
Chelsea,Crystal Palace,W
Tottenham Hotspur,Everton,W
Leicester City,Southampton,W
Southampton,Fulham,D
Chelsea,Newcastle Utd,W
Burnley,Arsenal,W
Tottenham Hotspur,Leeds United,W
Newcastle United,Manchester City,L
Luton Town,Nott'ham Forest,D
Norwich City,Aston Villa,L
West Ham United,Sheffield Utd,D
Fulham,Newcastle Utd,L
Chelsea,Wolves,W
Manchester United,Everton,W
Arsenal,Manchester City,L
Norwich City,Crystal Palace,L
Manchester United,Chelsea,W
Brighton and Hove Albion,Chelsea,D
Sheffield United,Newcastle Utd,L
West Ham United,Leeds United,W
Manchester United,Tottenham,D
Brentford,Manchester City,L
Manchester City,Manchester Utd,L
Everton,Crystal Palace,W
Chelsea,Brighton,D
Liverpool,Tottenham,L
Manchester City,Liverpool,W
West Ham United,Everton,L
Manchester United,Chelsea,L
Brighton and Hove Albion,Tottenham,L
Crystal Palace,Leicester City,L
Manchester United,Aston Villa,L
Burnley,West Ham,L
Manchester City,Luton Town,W
Brentford,Brighton,L
West Ham United,Liverpool,D
Wolverhampton Wanderers,Chelsea,D
Southampton,Leicester City,D
Luton Town,Sheffield Utd,W
Newcastle United,Leeds United,L
Manchester United,Newcastle Utd,L
Leeds United,Brentford,L
Nottingham Forest,Newcastle Utd,L
Leicester City,Brighton,D
Brighton and Hove Albion,Bournemouth,W
Sheffield United,Newcastle Utd,W
Liverpool,Burnley,L
Bournemouth,Liverpool,W
Manchester United,Brighton,W
Tottenham Hotspur,Brentford,D
Manchester City,Manchester Utd,W
Crystal Palace,Nott'ham Forest,D
Southampton,Manchester Utd,L
Liverpool,Tottenham,W
Aston Villa,Manchester City,L
Everton,Manchester Utd,D
Manchester City,Everton,W
Newcastle United,Leeds United,L
Manchester United,Southampton,W
Arsenal,Liverpool,L
Brighton and Hove Albion,Manchester Utd,W
Leicester City,Everton,W
Watford,Leicester City,L
Liverpool,Sheffield Utd,W
Wolverhampton Wanderers,Leeds United,W
Crystal Palace,Brentford,D
Leicester City,Aston Villa,W
Liverpool,Manchester Utd,D
Leicester City,Manchester Utd,W
Leeds United,Wolves,W
Brentford,Nott'ham Forest,W
Bournemouth,Manchester Utd,W
Tottenham Hotspur,Everton,W
Everton,Aston Villa,L
Wolverhampton Wanderers,Fulham,W
Liverpool,Manchester City,D
West Ham United,West Brom,W
Watford,Wolves,W
Liverpool,Leeds United,W
Tottenham Hotspur,Bournemouth,W
Arsenal,Southampton,D
Brighton and Hove Albion,Chelsea,L
Chelsea,Newcastle Utd,L
West Bromwich Albion,Aston Villa,L
Aston Villa,Sheffield Utd,W
Chelsea,Tottenham,W
Manchester United,Brentford,W
Manchester City,Arsenal,W
Arsenal,Manchester City,L
Arsenal,Burnley,W
Fulham,West Brom,D
West Ham United,Leicester City,L
Leeds United,Everton,W
Bournemouth,Manchester City,L
Arsenal,Newcastle Utd,L
Crystal Palace,Everton,D
Burnley,Liverpool,L
Manchester City,Wolves,W
Manchester City,Crystal Palace,L
Arsenal,Aston Villa,L
Everton,Brentford,L
Burnley,Aston Villa,L
Wolverhampton Wanderers,Tottenham,W
Liverpool,Wolves,W
Newcastle United,Burnley,W
Chelsea,Sheffield Utd,D
Watford,Manchester City,L
Norwich City,Bournemouth,D
Norwich City,Brentford,L
Everton,Leeds United,W
Chelsea,Fulham,L
Aston Villa,Arsenal,W
Norwich City,Manchester Utd,L
Crystal Palace,Arsenal,L
Manchester United,Manchester City,L
Arsenal,Brentford,W
Manchester City,Tottenham,W
Brentford,Manchester City,W
Luton Town,Burnley,D
Leicester City,Arsenal,L
Brentford,Liverpool,L
Chelsea,Burnley,W
Wolverhampton Wanderers,West Brom,L
Wolverhampton Wanderers,Leeds United,W
Liverpool,Aston Villa,W
Liverpool,Fulham,D
Southampton,West Ham,D
Southampton,Leeds United,D
Arsenal,West Brom,W
Wolverhampton Wanderers,Crystal Palace,W
West Ham United,Fulham,D
Arsenal,Everton,W
Brighton and Hove Albion,Luton Town,W
Tottenham Hotspur,Brighton,W
Chelsea,Arsenal,W
Brighton and Hove Albion,Southampton,W
Tottenham Hotspur,Liverpool,L
West Ham United,Fulham,W
Crystal Palace,Tottenham,L
Bournemouth,Liverpool,L
Fulham,Chelsea,L
Norwich City,Chelsea,L
Bournemouth,Nott'ham Forest,W
Crystal Palace,Everton,D
Brentford,Chelsea,L
Nottingham Forest,Everton,D
Burnley,Tottenham,L
Liverpool,Sheffield Utd,W
Leeds United,Everton,L
Brighton and Hove Albion,Chelsea,L
Everton,Watford,D
Brentford,Norwich City,L
West Ham United,Norwich City,W
West Bromwich Albion,Everton,L
Crystal Palace,Norwich City,D
Crystal Palace,Tottenham,L
Chelsea,West Ham,W
Southampton,Tottenham,L
Manchester United,Newcastle Utd,L
Wolverhampton Wanderers,Sheffield Utd,W
Burnley,Everton,L
Wolverhampton Wanderers,Newcastle Utd,L
Aston Villa,Norwich City,W
Nottingham Forest,Everton,D
Liverpool,Wolves,W
Crystal Palace,Tottenham,L
Crystal Palace,West Brom,W
Tottenham Hotspur,Manchester City,W
Aston Villa,Burnley,L
Wolverhampton Wanderers,Newcastle Utd,D
Chelsea,Liverpool,W
Aston Villa,Manchester City,L
Manchester United,Crystal Palace,L
Wolverhampton Wanderers,Burnley,D
Newcastle United,West Ham,D
Fulham,Crystal Palace,L
Leeds United,West Ham,L
Wolverhampton Wanderers,West Ham,L
Everton,Burnley,L
Leeds United,Fulham,L
Chelsea,Southampton,D
Leeds United,Fulham,W
Brighton and Hove Albion,West Ham,D
Wolverhampton Wanderers,Brentford,D
Manchester City,Arsenal,W
Nottingham Forest,Bournemouth,L
Leeds United,Tottenham,L
Tottenham Hotspur,West Ham,W
Southampton,Crystal Palace,L
Watford,Southampton,L
Brighton and Hove Albion,Aston Villa,L
Everton,Chelsea,W
Liverpool,Arsenal,W
Chelsea,Liverpool,D
Tottenham Hotspur,West Ham,L
Tottenham Hotspur,West Ham,W
Liverpool,Crystal Palace,W
Manchester United,Liverpool,D
Crystal Palace,West Ham,W
Bournemouth,Wolves,L
Newcastle United,Nott'ham Forest,L
Manchester City,Manchester Utd,W
Newcastle United,Arsenal,L
Burnley,Tottenham,L
Everton,Liverpool,W
Southampton,Manchester Utd,L
Tottenham Hotspur,Manchester Utd,W
Manchester City,Arsenal,W
Wolverhampton Wanderers,Southampton,W
Liverpool,Wolves,W
Aston Villa,Tottenham,L
Fulham,Liverpool,D
Liverpool,Wolves,W
Manchester United,Liverpool,D
Arsenal,Tottenham,D
Bournemouth,Watford,D
Brentford,Watford,W
Southampton,Brentford,L
Manchester United,Burnley,W
Liverpool,Arsenal,W
West Ham United,Chelsea,L
Burnley,Watford,W
Chelsea,Arsenal,L
Fulham,Sheffield Utd,W
Manchester City,Burnley,W
West Ham United,Leicester City,L
Leicester City,Leeds United,D
Burnley,Manchester Utd,L
Leeds United,Burnley,W
Burnley,Southampton,W
Chelsea,Manchester Utd,D
Newcastle United,Everton,W
Aston Villa,Crystal Palace,W
Crystal Palace,Leicester City,L
Burnley,Manchester Utd,D
Liverpool,Wolves,W
Newcastle United,Tottenham,L
Brighton and Hove Albion,Manchester City,L
Fulham,West Ham,W
Aston Villa,Southampton,W
Chelsea,Arsenal,L
Manchester City,Newcastle Utd,W
Brighton and Hove Albion,Wolves,D
Brentford,Manchester Utd,D
Chelsea,Fulham,W
Sheffield United,Crystal Palace,L
Crystal Palace,Manchester City,D
Southampton,Brighton,W
Arsenal,Manchester Utd,L
Nottingham Forest,Crystal Palace,D
Brighton and Hove Albion,West Ham,W
West Bromwich Albion,West Ham,L
Liverpool,Sheffield Utd,W
Crystal Palace,Everton,L
Wolverhampton Wanderers,Southampton,D
Liverpool,Manchester City,D
Chelsea,Everton,L
Leicester City,Leeds United,L
Wolverhampton Wanderers,Manchester City,W
Brighton and Hove Albion,Manchester City,L
Aston Villa,Tottenham,L
Norwich City,Liverpool,L
West Ham United,Wolves,L
Fulham,Nott'ham Forest,W
Chelsea,Tottenham,W
Fulham,Arsenal,D
Manchester United,Liverpool,D
Sheffield United,Manchester Utd,W
Bournemouth,Leeds United,L
Manchester United,Newcastle Utd,D
Crystal Palace,Wolves,W
Chelsea,Manchester Utd,W
Crystal Palace,Leicester City,D
West Ham United,Tottenham,L
Watford,Manchester Utd,W
Everton,Newcastle Utd,D
Leicester City,Manchester City,L
Chelsea,Manchester Utd,L
Tottenham Hotspur,Bournemouth,L
Liverpool,Leicester City,W
Aston Villa,Newcastle Utd,D
West Ham United,Manchester Utd,L
Newcastle United,Burnley,W
Chelsea,Tottenham,D
Burnley,Aston Villa,D
Leeds United,Manchester Utd,D
Manchester City,Aston Villa,W
Brighton and Hove Albion,Newcastle Utd,D
Brighton and Hove Albion,Brentford,W
Crystal Palace,Manchester Utd,L
Brentford,Wolves,L
Luton Town,Wolves,D
Arsenal,Leeds United,W
West Ham United,Arsenal,L
Aston Villa,West Ham,L
Bournemouth,Tottenham,W
Chelsea,Newcastle Utd,W
Norwich City,Everton,W
Manchester United,Leeds United,W
Crystal Palace,Brighton,L
Crystal Palace,Tottenham,D
Sheffield United,Manchester Utd,L
Crystal Palace,Aston Villa,W
Tottenham Hotspur,Everton,W
Wolverhampton Wanderers,Sheffield Utd,W
Manchester City,Chelsea,W
Liverpool,Crystal Palace,W
Brighton and Hove Albion,Wolves,W
Manchester United,West Ham,D
Sheffield United,Leeds United,L
Leicester City,Liverpool,L
Burnley,West Ham,L
Everton,Wolves,D
Brighton and Hove Albion,Arsenal,L
Liverpool,Brentford,W
Liverpool,Aston Villa,W
Leeds United,Arsenal,L
Brighton and Hove Albion,Tottenham,W
Brighton and Hove Albion,Chelsea,L
Newcastle United,Liverpool,L
Aston Villa,Wolves,W
Newcastle United,Arsenal,L
Aston Villa,Sheffield Utd,D
Manchester United,Norwich City,W
Southampton,Brighton,W
Liverpool,Newcastle Utd,D
Leeds United,Brighton,L
Aston Villa,West Ham,L
Tottenham Hotspur,Manchester City,W
Crystal Palace,Burnley,L
Manchester United,West Ham,W
Burnley,Manchester Utd,L
Arsenal,Liverpool,W
Brighton and Hove Albion,West Ham,W
Manchester City,Wolves,L
Tottenham Hotspur,Chelsea,D
West Ham United,Watford,W
Bournemouth,Sheffield Utd,D
Aston Villa,Brentford,D
Arsenal,Everton,L
Brighton and Hove Albion,Leeds United,W
Leicester City,Brighton,W
Newcastle United,Tottenham,D
Newcastle United,Bournemouth,W
Southampton,Wolves,D
Watford,Tottenham,L
Brentford,Tottenham,L
Wolverhampton Wanderers,West Ham,L
Aston Villa,Leeds United,L
Arsenal,Bournemouth,W
Newcastle United,Watford,D
Bournemouth,Fulham,L
Liverpool,Crystal Palace,W
Chelsea,Norwich City,W
Everton,Manchester City,L
Wolverhampton Wanderers,Southampton,W
Everton,Southampton,W
Tottenham Hotspur,Newcastle Utd,W
Fulham,Tottenham,L
Brighton and Hove Albion,Aston Villa,D
Manchester United,Newcastle Utd,W
Southampton,Brighton,L
Norwich City,Brighton,D
Sheffield United,Brighton,D
Tottenham Hotspur,Leeds United,W
Crystal Palace,Tottenham,L
Chelsea,Newcastle Utd,W
West Ham United,Crystal Palace,W
Tottenham Hotspur,Burnley,W
Bournemouth,Brentford,L
Tottenham Hotspur,Sheffield Utd,W
Sheffield United,Everton,W
Burnley,Fulham,W
Sheffield United,Brentford,W
Sheffield United,Arsenal,D
Manchester City,Watford,W
Newcastle United,Liverpool,L
Southampton,Brentford,L
Aston Villa,Wolves,L
Leeds United,Southampton,W
Leicester City,Crystal Palace,D
Nottingham Forest,Manchester City,L
Leicester City,Liverpool,L
Newcastle United,Burnley,L
Wolverhampton Wanderers,Leeds United,W
Everton,Southampton,L
Burnley,Brighton,L
Everton,Crystal Palace,D
Brighton and Hove Albion,Aston Villa,L
Newcastle United,Liverpool,D
Manchester City,Tottenham,W
Wolverhampton Wanderers,Everton,W
Leeds United,Manchester Utd,L
Arsenal,Burnley,D
Arsenal,West Ham,W
Brighton and Hove Albion,West Ham,D
Everton,Bournemouth,L
Chelsea,Fulham,W
Manchester United,West Ham,L
Arsenal,Aston Villa,L
Arsenal,Chelsea,D
Wolverhampton Wanderers,Aston Villa,W
Everton,Southampton,L
Fulham,Burnley,L
Southampton,Liverpool,L
Liverpool,Newcastle Utd,W
Burnley,Sheffield Utd,D
Bournemouth,Fulham,W
Fulham,Manchester City,L
Fulham,Everton,D
Burnley,West Brom,D
Southampton,Leeds United,L
Brentford,Arsenal,L
Chelsea,Burnley,W
Southampton,Liverpool,L
Wolverhampton Wanderers,Newcastle Utd,L
Watford,Chelsea,L
Southampton,Crystal Palace,L
Fulham,Everton,D
Leicester City,Chelsea,W
Chelsea,Liverpool,L
Arsenal,Brighton,L
Wolverhampton Wanderers,Fulham,L
Leicester City,Nott'ham Forest,W
Newcastle United,Fulham,W
Aston Villa,Southampton,L
Tottenham Hotspur,Manchester City,D
Arsenal,Everton,L
Manchester United,Sheffield Utd,L
Burnley,Liverpool,L
Manchester United,Bournemouth,L
Watford,Tottenham,D
Sheffield United,Wolves,L
Chelsea,Brighton,L
Manchester City,Newcastle Utd,W
Southampton,Wolves,L
Liverpool,Leicester City,L
Crystal Palace,Burnley,D
Chelsea,West Ham,W
West Bromwich Albion,Manchester Utd,D
Burnley,Chelsea,L
Liverpool,Sheffield Utd,W
Manchester United,Arsenal,L
Brighton and Hove Albion,Manchester City,L
Manchester United,Leicester City,L
Liverpool,Crystal Palace,D
Crystal Palace,Burnley,D
Manchester City,Chelsea,W
Sheffield United,West Brom,W
Arsenal,Brighton,W
Manchester City,Everton,W
Chelsea,Newcastle Utd,L
Brentford,Wolves,W
Fulham,Everton,L
Aston Villa,Manchester Utd,L
Newcastle United,Arsenal,L
Tottenham Hotspur,Brentford,D
Sheffield United,Crystal Palace,W
Watford,Liverpool,L
Manchester City,Bournemouth,W
Burnley,Wolves,D
Brentford,Nott'ham Forest,W
Brighton and Hove Albion,Arsenal,W
Manchester United,Liverpool,W
Southampton,Manchester City,D
Norwich City,Leicester City,W
Sheffield United,Bournemouth,W
Newcastle United,Southampton,W
Watford,Crystal Palace,L
Liverpool,Aston Villa,D
Fulham,Chelsea,L
Fulham,Wolves,L
Everton,West Ham,L
Manchester City,Liverpool,W
Everton,Burnley,L
Brentford,Arsenal,W
Burnley,Crystal Palace,W
Fulham,Tottenham,L
Newcastle United,Sheffield Utd,W
Wolverhampton Wanderers,Manchester City,L
Brentford,Chelsea,D
Southampton,Newcastle Utd,L
Brighton and Hove Albion,Chelsea,D
Fulham,Bournemouth,L
Everton,Liverpool,L
Liverpool,Brighton,L
Liverpool,Everton,W
Manchester United,Sheffield Utd,W
Newcastle United,Arsenal,L
West Bromwich Albion,Arsenal,L
Manchester United,Liverpool,L
Liverpool,Everton,W
West Bromwich Albion,Liverpool,L
Leicester City,Leeds United,W
Tottenham Hotspur,Manchester Utd,L
Luton Town,Crystal Palace,D
Luton Town,Sheffield Utd,L
Leicester City,Wolves,W
Manchester City,Fulham,W
Sheffield United,Southampton,L
Norwich City,Arsenal,D
Everton,Southampton,W
Wolverhampton Wanderers,Chelsea,L
Crystal Palace,Liverpool,L
Everton,Sheffield Utd,W
Chelsea,Brighton,D
Brighton and Hove Albion,Crystal Palace,D
Arsenal,Southampton,W
Brighton and Hove Albion,Burnley,D
Chelsea,Wolves,L
Bournemouth,Tottenham,L
Arsenal,Wolves,L
Arsenal,Chelsea,W
Fulham,Newcastle Utd,L
Brentford,Newcastle Utd,L
Manchester City,Newcastle Utd,W
Manchester City,Everton,W
Nottingham Forest,Wolves,D
Brentford,Leeds United,D
Everton,Brentford,D
Wolverhampton Wanderers,Tottenham,L
West Ham United,Brighton,D
Manchester United,Sheffield Utd,W
Everton,Manchester Utd,L
Liverpool,Chelsea,W
West Ham United,Manchester City,D
Newcastle United,Watford,D
Burnley,Bournemouth,L
Bournemouth,Chelsea,L
Crystal Palace,Southampton,L
Luton Town,Fulham,L
West Ham United,Manchester City,L
Chelsea,West Ham,L
Fulham,Wolves,L
Leeds United,Newcastle Utd,W
Everton,Tottenham,D
Liverpool,Fulham,D
Liverpool,Brentford,L
Crystal Palace,Luton Town,D
Manchester United,Brentford,L
Liverpool,West Ham,W
Wolverhampton Wanderers,Burnley,L
Chelsea,Liverpool,W
Liverpool,Bournemouth,W
Leeds United,Leicester City,W
Southampton,Wolves,L
West Bromwich Albion,Southampton,W
Arsenal,Leicester City,L
Leeds United,Manchester City,L
West Ham United,Chelsea,W
Tottenham Hotspur,Southampton,L
Burnley,Brighton,L
Aston Villa,Tottenham,W
Arsenal,Brighton,D
Aston Villa,Newcastle Utd,D
Everton,Newcastle Utd,W
Manchester City,Crystal Palace,D
Leicester City,Wolves,L
Chelsea,Bournemouth,L
Leicester City,Fulham,L
Manchester City,Aston Villa,W
Watford,Brighton,L
Everton,Brighton,W
Aston Villa,Southampton,L
Manchester United,Chelsea,D
Brighton and Hove Albion,Aston Villa,W
Arsenal,Brighton,W
Arsenal,Tottenham,L
Southampton,Sheffield Utd,W
Fulham,Brighton,D
Tottenham Hotspur,Sheffield Utd,W
Arsenal,West Ham,W
Brighton and Hove Albion,Nott'ham Forest,D
Southampton,Arsenal,D
Fulham,Sheffield Utd,D
Manchester City,Sheffield Utd,W
Crystal Palace,Brentford,D
Arsenal,Nott'ham Forest,W
Tottenham Hotspur,Sheffield Utd,D
Aston Villa,Manchester Utd,L
Crystal Palace,Brighton,D
Everton,Liverpool,L
Nottingham Forest,Leeds United,W
Leeds United,Manchester Utd,D
Leeds United,Liverpool,L
Bournemouth,Brighton,W
Wolverhampton Wanderers,Burnley,W
Tottenham Hotspur,Aston Villa,W
Leicester City,Manchester Utd,L
Fulham,Tottenham,L
Leicester City,Newcastle Utd,L
Nottingham Forest,Luton Town,D
Arsenal,Wolves,L
Manchester City,Sheffield Utd,W
Burnley,Manchester Utd,W
Crystal Palace,Everton,D
Arsenal,Chelsea,L
Manchester United,Tottenham,W
Manchester City,Liverpool,D
Leeds United,Manchester Utd,L
Manchester City,West Brom,W
Luton Town,Fulham,L
Luton Town,Brentford,L
Wolverhampton Wanderers,Manchester Utd,L
Southampton,Liverpool,L
West Ham United,Wolves,W
Aston Villa,Watford,L
Arsenal,Sheffield Utd,W
West Bromwich Albion,Southampton,L
Newcastle United,Burnley,W
Nottingham Forest,Brighton,L
Crystal Palace,Fulham,D
Burnley,Southampton,D
Manchester City,Brentford,W
Leicester City,West Ham,W
Liverpool,Brighton,W
West Ham United,Chelsea,L
Burnley,Newcastle Utd,L
Aston Villa,Everton,W
West Ham United,Arsenal,W
Aston Villa,Brentford,W
Southampton,Chelsea,L
Everton,Crystal Palace,W
Southampton,West Brom,L
Tottenham Hotspur,Leicester City,W
Arsenal,West Brom,W
Tottenham Hotspur,Southampton,W
Sheffield United,Wolves,D
Wolverhampton Wanderers,Crystal Palace,W
Wolverhampton Wanderers,Watford,W
